Supercharger,Street Address ?,City,State,Zip,Country,Stalls,GPS,Elev.(m),Status,Open Date,Tesla,Discuss
"Charlottesville, VA",null,Charlottesville,VA,22901,USA,8,"38.067051, -78.492702",149,Construction,null,SC,thread
"St. Anton, Austria",null,St. Anton am Arlberg,,6580,Austria,4,"47.130137, 10.269231","1,287",Open,null,SC,forum
"Irschenberg, Germany",null,Irschenberg,,83737,Germany,6,"47.826777, 11.898642",681,Open,null,SC,thread
"Glen Allen, VA",null,Glen Allen,VA,23059,USA,8,"37.669832, -77.461419",49,Open,null,SC,forum
"Amarillo, TX",null,Amarillo,TX,79124,USA,8,"35.189035, -101.931478","1,134",Open,null,SC,thread
"Sweetwater, TX",null,Sweetwater,TX,79556,USA,8,"32.450591, -100.392455",660,Open,null,SC,thread
"Needles, CA",null,Needles,CA,92363,USA,4,"34.850835, -114.624329",157,Open,null,SC,thread
"Stuhr (Bremen-Brinkum), Germany",null,Stuhr,,28816,Germany,4,"53.02836, 8.806156",6,Open,null,SC,thread
"Rade, Germany",null,Neu Wulmstorf/Rade,,21629,Germany,8,"53.369722, 9.802193",83,Open,null,SC,forum
"Kobe, Japan",null,Kobe,,9/2/2005,Japan,4,"34.657031, 135.226048",3,Open,null,SC,forum
"Cleveland, Tesla Service Center",null,Lyndhurst,OH,44124,USA,1,"41.519027, -81.493345",314,Open,null,SC,thread
"Flagstaff, AZ",null,Flagstaff,AZ,86001,USA,4,"35.174272, -111.66328","2,106",Open,null,SC,thread
"Campogalliano, Italy",null,Campogalliano,,41011,Italy,2,"44.685971, 10.851913",42,Open,null,SC,forum
Chiyodaku Palace Hotel-Japan,null,Tokyo,,,Japan,4,"35.684656, 139.761252",11,Open,null,SC,forum
"Evanston, WY",null,Evanston,WY,82930,USA,8,"41.263404, -110.98558","2,080",Construction,null,SC,thread
"Newburgh, NY",null,Newburgh,NY,12550,USA,6,"41.499775, -74.071261",104,Open,null,SC,thread
"Revelstoke, BC",null,Revelstoke,BC,BC V0E,Canada,4,"51.009594, -118.218857",451,Open,null,SC,thread
"Moab, UT",null,Moab,UT,84511,USA,4,"38.573122, -109.552368","1,224",Open,null,SC,thread
"Guangzhou - Shenglin Building, China",null,Guangzhou,Guangdong,,China,2,"22.847557, 113.452776",-1,Open,null,SC,forum
"Storjord, Norway",null,Storjord,,8255,Norway,4,"66.814045, 15.401738",103,Open,null,SC,forum
"Herzsprung, Germany",null,Herzsprung,,16909,Germany,6,"53.06735, 12.53333",53,Open,null,SC,forum
"Aix-en-Provence, France",null,Aix-en-Provence,,13100,France,4,"43.510637, 5.456429",140,Open,null,SC,forum
"Santa Ana, CA",null,Santa Ana,CA,92705,USA,12,"33.776011, -117.872176",47,Open,null,SC,thread
"La Crosse, WI",null,Onalaska,WI,54650,USA,6,"43.879042, -91.188428",219,Open,null,SC,thread
"Port St. Lucie, FL",null,Port St. Lucie,FL,34986,USA,8,"27.313023, -80.406688",8,Open,null,SC,forum
"Hong Kong-The Pulse, China",null,Hong Kong,Hong Kong,,China,4,"22.235273, 114.198504",21,Open,null,SC,forum
"Nanjing Fullshare, China",null,Nanjing,Jiangsu,,China,6,"31.976229, 118.761432",32,Open,null,SC,forum
"Occhiobello, Italy",null,Occhiobello,,45030,Italy,8,"44.918787, 11.594051",6,Open,null,SC,forum
"Lampeland, Norway",null,Lampeland,,3621,Norway,8,"59.836224, 9.579221",188,Open,null,SC,thread
"San Diego, CA",null,San Diego,CA,92121,USA,12,"32.902137, -117.193489",88,Open,null,SC,thread
"Zhoushan Putuo - Haizhongzhou Hotel, China",null,Zhoushan,Zhejiang,,China,4,"29.966773, 122.316121",4,Open,null,SC,forum
"Eau Claire, WI",null,Eau Claire,WI,54701,USA,6,"44.77083, -91.43711",293,Open,null,SC,thread
"Traverse City, MI",null,Traverse City,MI,49684,USA,8,"44.743292, -85.64259",191,Permit,null,SC,thread
"Nørre Alslev, Denmark",null,Nørre Alslev,,4840,Denmark,8,"54.900427, 11.898537",21,Open,null,SC,forum
"Orange, France",null,Orange,,84100,France,8,"44.112164, 4.851759",61,Open,null,SC,forum
"Darien, CT (south)",null,Darien,CT,6820,USA,4,"41.068167, -73.504659",14,Open,null,SC,forum
"Xuzhou - New Century Grand Hotel, China",null,Xuzhou,Jiangsu,,China,2,"34.245064, 117.134447",29,Open,null,SC,forum
"Brighouse Southbound, UK",null,Brighouse,,HD6 4JX,United Kingdom,8,"53.714315, -1.743758",141,Construction,null,SC,forum
"Magliano, Italy",null,Magliano,,,Italy,8,"42.372085, 12.471703",59,Open,null,SC,thread
"Sandane, Norway",null,Sandane,,6823,Norway,6,"61.778023, 6.213188",1,Open,null,SC,thread
"Katowice, Poland",null,Katowice,,48 24 256 04 28,Poland,4,"50.254594, 19.046594",265,Open,null,SC,forum
"Mücke, Germany",null,Mücke,,35325,Germany,6,"50.645417, 8.989917",314,Open,null,SC,forum
"Aurland, Norway",null,Aurland,,5745,Norway,6,"60.89863, 7.21082",11,Open,null,SC,forum
"Monterey, CA",null,Monterey,CA,93940,USA,10,"36.585509, -121.89868",67,Construction,null,SC,thread
"Buffalo, NY",null,Buffalo,NY,14221,USA,8,"42.968673, -78.696128",213,Open,null,SC,thread
"Fort Myers, FL",null,Fort Myers,FL,33913,USA,8,"26.48564, -81.787136",6,Open,null,SC,forum
"Guangzhou - Huanan Auto Trade, China",null,Guangzhou,Guangdong,,China,4,"23.070509, 113.31295",4,Open,null,SC,forum
"Rolla, MO",null,Rolla,MO,65401,USA,8,"37.940064, -91.801658",293,Open,null,SC,thread
"Seabrook, NH",null,Seabrook,NH,3874,USA,8,"42.895182, -70.869351",16,Open,null,SC,thread
"Blanding, UT",null,Blanding,UT,84511,USA,4,"37.625553, -109.473842","1,849",Open,null,SC,thread
"Victoria, TX",null,Victoria,TX,77901,USA,6,"28.766853, -96.978988",23,Open,null,SC,thread
"Aichstetten, Germany",null,Aichstetten,,88317,Germany,8,"47.880483, 10.039783",630,Open,null,SC,forum
"Cincinnati, OH",null,Cincinnati,OH,45242,USA,8,"39.224429, -84.383415",258,Open,null,SC,thread
"Hooksett (south), NH",null,Hooksett,NH,3106,USA,6,"43.109521, -71.477006",85,Open,null,SC,thread
"Nossen, Germany",null,Nossen,,1683,Germany,6,"51.082468, 13.27406",252,Open,null,SC,thread
"Handan, China",null,Handan,Hebei,,China,4,"36.656095, 114.564185",53,Open,null,SC,forum
"Kurashiki, Japan",null,Kurashiki,Okayama Prefecture,,Japan,4,"34.578345, 133.769448",5,Open,null,SC,forum
"Queensbury, NY",null,Queensbury,NY,12804,USA,8,"43.328388, -73.679992",130,Open,null,SC,thread
"Lauenau, Germany",null,Lauenau,,31867,Germany,8,"52.278674, 9.350953",83,Open,null,SC,thread
"Primm, NV",null,Primm,NV,89019,USA,10,"35.610687, -115.388028",795,Open,null,SC,thread
"DeFuniak Springs, FL",null,DeFuniak Springs,FL,32435,USA,5,"30.720702, -86.116677",76,Open,null,SC,thread
"Lavik, Norway",null,Lavik,,,Norway,10,"61.103869, 5.51268",16,Open,null,SC,forum
Hong Kong-Elements,null,Hong Kong,Hong Kong,,China,4,"22.30488, 114.161519",22,Open,null,SC,forum
"Kitzbühel, Austria",null,Kitzbühel,,6370,Austria,3,"47.459597, 12.385877",735,Open,null,SC,thread
"Falkenberg, Sweden",null,Falkenberg,,311 50,Sweden,12,"56.93167, 12.51805",22,Open,null,SC,thread
"Ghent, Belgium",null,Ghent,,,Belgium,8,"51.019861, 3.734917",12,Open,null,SC,thread
"Changzhou-Changfa Plaza, China",null,Changzhou,Jiangsu,,China,6,"31.812589, 119.979492",8,Open,null,SC,forum
"Cúllar, Spain",null,Cúllar,,,Spain,8,"37.554031, -2.613944",997,Open,null,SC,thread
"Texarkana, TX",null,Texarkana,TX,75503,USA,8,"33.459926, -94.077179",100,Open,null,SC,thread
"Al Qatraneh, Jordan",null,Al Karak,,,Jordan,4,"31.276475, 36.054488",773,Open,null,SC,thread
"Hinckley, MN",null,Hinckley,MN,55037,USA,8,"46.009592, -92.93155",313,Open,null,SC,thread
"Falls Creek, PA",null,Falls Creek,PA,15840,USA,8,"41.14072, -78.784725",425,Construction,null,SC,thread
"Magog, QC",null,Magog,QC,J1X0J4,Canada,8,"45.281273, -72.185744",220,Open,null,SC,thread
"Takasaski, Japan",null,Takasaski,,,Japan,2,"36.307802, 139.097401",73,Open,null,SC,forum
"Sheboygan, WI",null,Sheboygan,WI,53081,USA,8,"43.749912, -87.747073",200,Open,null,SC,thread
"Knoxville, TN",null,Knoxville,TN,37934,USA,8,"35.901319, -84.149634",286,Open,null,SC,thread
"Kristianstad, Sweden",null,Kristianstad,,,Sweden,6,"56.023216, 14.11831",3,Open,null,SC,thread
"Saintes, France",null,Saintes,,17100,France,8,"45.75, -0.661722",48,Open,null,SC,forum
"Breezewood, PA",null,Breezewood,PA,15533,USA,8,"39.999705, -78.238536",395,Construction,null,SC,thread
"Nanchang, China",null,Nanchang,Jiangxi,,China,4,"28.720737, 115.794675",25,Open,null,SC,forum
"Kastrup, Denmark",null,Kastrup,,2770,Denmark,2,"55.614459, 12.613533",2,Open,null,SC,thread
"Hoorn, Netherlands",null,Hoorn,,,Netherlands,4,"52.650769, 5.038917",-2,Open,null,SC,thread
Zhongshan-Baihui Plaza,null,Zhongshan,Guangdong,,China,4,"22.55954, 113.456535",19,Open,null,SC,forum
"Kapfenberg, Austria",null,Kapfenberg,,,Austria,8,"47.450336, 15.317516",514,Open,null,SC,thread
"Ulm, Germany",null,Ulm,,89081,Germany,8,"48.457074, 10.030273",568,Open,null,SC,forum
"Mount Vernon, IL",null,Mt. Vernon,IL,,USA,8,"38.316292, -88.955923",146,Open,null,SC,thread
"Albacete, Spain",null,Albacete,,2110,Spain,8,"39.134675, -2.039013",705,Open,null,SC,thread
"Gustine, CA",null,Gustine,CA,95322,USA,12,"37.109305, -121.017565",47,Open,null,SC,thread
"San Juan del Río, Mexico",null,San Juan del Río,,76800,Mexico,6,"20.384501, -100.012926","1,921",Open,null,SC,forum
"Junction, TX",null,Junction,TX,76849,USA,8,"30.509233, -99.77456",519,Open,null,SC,thread
"Valenciennes, France",null,Rouvignies,,,France,10,"50.336704, 3.455931",51,Open,null,SC,forum
"Truth or Consequences, NM",null,Truth or Consequences,NM,87901,USA,8,"33.15524, -107.251642","1,353",Open,null,SC,thread
"Emporia, KS",null,Emporia,KS,66801,USA,8,"38.420693, -96.220147",363,Permit,null,SC,thread
"San Mateo, CA",null,San Mateo,CA,94403,USA,8,"37.544632, -122.290188",3,Open,null,SC,thread
"Kingston, NY",null,Kingston,NY,12401,USA,8,"41.941916, -74.027208",47,Open,null,SC,thread
"Culver City, CA",null,Culver City,CA,90230,USA,16,"33.986779, -118.390213",13,Open,null,SC,thread
"Zhengzhou - Join Auto-Putian Store, China",null,Zhengzhou,Henan,,China,4,"34.745298, 113.798207",85,Open,null,SC,forum
"Heatherbrae, Australia",null,Heatherbrae,NSW,2234,Australia,6,"-32.787294, 151.728353",10,Open,null,SC,thread
"London Tower, UK",null,London,,E1W 1LD,United Kingdom,2,"51.506333, -0.072778",12,Open,null,SC,forum
"Atascadero, CA",null,Atascadero,CA,93422,USA,8,"35.48656, -120.66633",262,Open,null,SC,forum
